Exchange,Name,Trading_symbol,isin
BSE,ECLERX SERVICES LTD.,ECLERX,INE738I01010
BSE,EDELWEISS FINANCIAL SERVICES L,EDELWEISS,INE532F01054
BSE,EICHER MOTORS LTD.,EICHERMOT,INE066A01021
BSE,EIH ASSOCIATED HOTELS LTD.,EIHAHOTELS,INE276C01014
BSE,EIH LTD.,EIHOTEL,INE230A01023
BSE,EIMCO ELECON (INDIA) LTD.,EIMCOELECO,INE158B01016
BSE,ELECTROSTEEL CASTINGS LTD.,ELECTCAST,INE086A01029
BSE,ELECTROTHERM (INDIA) LTD.,ELECTHERM,INE822G01016
BSE,ELGI EQUIPMENTS LTD.,ELGIEQUIP,INE285A01027
BSE,ELNET TECHNOLOGIES LTD.,ELNET,INE033C01019
BSE,ELPRO INTERNATIONAL LTD.,ELPROINTL,INE579B01039
BSE,EMAMI LTD.,EMAMILTD,INE548C01032
BSE,EMAMI PAPER MILLS LTD.,EMAMIPAP,INE830C01026
BSE,EMAMI REALTY LIMITED,EMAMIREAL,INE778K01012
BSE,EMBASSY DEVELOPMENTS LIMITED,EMBDL,INE069I01010
BSE,EMKAY GLOBAL FINANCIAL SERVICE,EMKAY,INE296H01011
BSE,EMMBI INDUSTRIES LTD,EMMBI,INE753K01015
BSE,ENERGY DEVELOPMENT COMPANY LTD,ENERGYDEV,INE306C01019
BSE,ENGINEERS INDIA LTD.,ENGINERSIN,INE510A01028
BSE,ENTERTAINMENT NETWORK (INDIA),ENIL,INE265F01028
BSE,EPL LIMITED,EPL,INE255A01020
BSE,ESAB INDIA LTD.,ESABINDIA,INE284A01012
BSE,ESSAR SHIPPING LTD.,ESSARSHPNG,INE122M01019
BSE,ESTER INDUSTRIES LTD.,ESTER,INE778B01029
BSE,EVEREADY INDUSTRIES INDIA LTD.,EVEREADY,INE128A01029
BSE,EVEREST INDUSTRIES LTD.,EVERESTIND,INE295A01018
BSE,EVEREST KANTO CYLINDER LTD.,EKC,INE184H01027
BSE,EXCEL INDUSTRIES LTD.,EXCELINDUS,INE369A01029
BSE,EXCEL REALTY N INFRA LTD.,EXCEL,INE688J01023
BSE,EXIDE INDUSTRIES LTD.,EXIDEIND,INE302A01020
BSE,EXPLEO SOLUTIONS LIMITED,EXPLEOSOL,INE201K01015
BSE,Easy Trip Planners Limited,EASEMYTRIP,INE07O001026
BSE,Endurance Technologies Limited,ENDURANCE,INE913H01037
BSE,Equitas Small Finance Bank Lim,EQUITASBNK,INE063P01018
BSE,Eris Lifesciences Limited,ERIS,INE406M01024
BSE,Escorts Kubota Limited,ESCORTS,INE042A01014
BSE,Eternal Limited,ETERNAL,INE758T01015
BSE,FCS SOFTWARE SOLUTIONS LTD.,FCSSOFT,INE512B01022
BSE,FDC LTD.,FDC,INE258B01022
BSE,FEDERAL BANK LTD.,FEDERALBNK,INE171A01029
BSE,FEDERAL-MOGUL GOETZE (INDIA) L,FMGOETZE,INE529A01010
BSE,FERTILIZERS & CHEMICALS TRAVAN,FACT,INE188A01015
BSE,FIEM INDUSTRIES LTD.,FIEMIND,INE737H01014
BSE,FILATEX INDIA LTD.,FILATEX,INE816B01035
BSE,FINOLEX CABLES LTD.,FINCABLES,INE235A01022
BSE,FINOLEX INDUSTRIES LTD.,FINPIPE,INE183A01024
BSE,FIRSTSOURCE SOLUTIONS LTD.,FSL,INE684F01012
BSE,FLEXITUFF VENTURES INTERNATION,FLEXITUFF,INE060J01017
BSE,FORCE MOTORS LTD.,FORCEMOT,INE451A01017
BSE,FORTIS HEALTHCARE LTD.,FORTIS,INE061F01013
BSE,FOSECO INDIA LTD.,FOSECOIND,INE519A01011
